Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              6.262237                            6.262237
Epoch8                             24.755884                           31.018120
Epoch9                              8.074920                           39.093041
Epoch10                            18.470927                           57.563967
Epoch11                            19.511544                           77.075511
Epoch12                            19.149619                           96.225130
Epoch13                             3.989190                          100.214320
Epoch14                             0.000000                          100.214320
Epoch15                             0.000000                          100.214320
Epoch16                             0.000000                          100.214320
Epoch17                            34.750713                          134.965033
Epoch18                             9.875199                          144.840232
Epoch19                             0.000000                          144.840232
Epoch20                             0.071128                          144.911359
Epoch21                             0.000000                          144.911359
Epoch22                             0.000000                          144.911359
Epoch23                             0.000000                          144.911359
Epoch24                             0.000000                          144.911359
Epoch25                             0.000000                          144.911359
Epoch26                             0.000000                          144.911359
Epoch27                             0.000000                          144.911359
Epoch28                             0.000000                          144.911359
Epoch29                             0.000000                          144.911359
