Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             2.120956                            2.120956
Epoch11                             0.000000                            2.120956
Epoch12                             0.000000                            2.120956
Epoch13                             0.000000                            2.120956
Epoch14                             0.000000                            2.120956
Epoch15                             0.000000                            2.120956
Epoch16                             0.000000                            2.120956
Epoch17                             0.000000                            2.120956
Epoch18                             0.000000                            2.120956
Epoch19                             0.000000                            2.120956
Epoch20                             0.000000                            2.120956
Epoch21                             0.000000                            2.120956
Epoch22                             0.000000                            2.120956
Epoch23                             0.000000                            2.120956
Epoch24                             0.000000                            2.120956
Epoch25                             0.000000                            2.120956
Epoch26                             0.000000                            2.120956
Epoch27                             0.000000                            2.120956
Epoch28                             0.000000                            2.120956
Epoch29                             0.000000                            2.120956
