Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              3.764986                            3.764986
Epoch5                              0.001855                            3.766842
Epoch6                              0.000000                            3.766842
Epoch7                              0.000000                            3.766842
Epoch8                              0.000000                            3.766842
Epoch9                              0.000000                            3.766842
Epoch10                             0.000000                            3.766842
Epoch11                             0.000000                            3.766842
Epoch12                             0.000000                            3.766842
Epoch13                             0.000000                            3.766842
Epoch14                             0.000000                            3.766842
Epoch15                             0.000000                            3.766842
Epoch16                             0.000000                            3.766842
Epoch17                             0.000000                            3.766842
Epoch18                             0.000000                            3.766842
Epoch19                             0.000000                            3.766842
Epoch20                             0.000000                            3.766842
Epoch21                             0.000000                            3.766842
Epoch22                             0.000000                            3.766842
Epoch23                             0.000000                            3.766842
Epoch24                             0.000000                            3.766842
Epoch25                             0.000000                            3.766842
Epoch26                             0.000000                            3.766842
Epoch27                             0.000000                            3.766842
Epoch28                             0.000000                            3.766842
