Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                            84.064342                           84.064342
Epoch13                            48.868854                          132.933196
Epoch14                             0.000000                          132.933196
Epoch15                           183.507063                          316.440259
Epoch16                           293.095840                          609.536099
Epoch17                           175.220165                          784.756264
Epoch18                            46.119685                          830.875949
Epoch19                             0.000000                          830.875949
Epoch20                            25.312079                          856.188028
Epoch21                            75.382167                          931.570195
Epoch22                            29.165399                          960.735594
Epoch23                            37.892990                          998.628584
Epoch24                             0.004572                          998.633156
Epoch25                            18.085140                        1,016.718297
Epoch26                            64.891616                        1,081.609913
Epoch27                           131.617817                        1,213.227730
Epoch28                           105.908653                        1,319.136383
Epoch29                           239.422942                        1,558.559325
Epoch30                           233.040775                        1,791.600100
