Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                            274.683962                          274.683962
Epoch5                            238.539846                          513.223808
Epoch6                            326.577050                          839.800857
Epoch7                            395.478569                        1,235.279427
Epoch8                            577.908091                        1,813.187518
Epoch9                            503.520171                        2,316.707689
Epoch10                            94.288799                        2,410.996488
Epoch11                           263.287651                        2,674.284139
Epoch12                            65.461301                        2,739.745440
Epoch13                            79.464801                        2,819.210242
Epoch14                             0.000000                        2,819.210242
Epoch15                             0.000000                        2,819.210242
Epoch16                             0.000000                        2,819.210242
Epoch17                             0.000000                        2,819.210242
Epoch18                             0.000000                        2,819.210242
Epoch19                             0.000000                        2,819.210242
Epoch20                             0.000000                        2,819.210242
Epoch21                             0.000000                        2,819.210242
Epoch22                             0.000000                        2,819.210242
Epoch23                             0.000000                        2,819.210242
Epoch24                             0.000000                        2,819.210242
Epoch25                             0.000000                        2,819.210242
Epoch26                             0.000000                        2,819.210242
Epoch27                             0.000000                        2,819.210242
