Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                            317.847593                          317.847593
Epoch9                            293.335816                          611.183409
Epoch10                             0.000000                          611.183409
Epoch11                             0.000000                          611.183409
Epoch12                             0.000000                          611.183409
Epoch13                             0.000000                          611.183409
Epoch14                             0.000000                          611.183409
Epoch15                             0.000000                          611.183409
Epoch16                             0.000000                          611.183409
Epoch17                             0.000000                          611.183409
