Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              1.000723                            1.000723
Epoch6                             61.966744                           62.967467
Epoch7                             35.687793                           98.655260
Epoch8                             45.644386                          144.299645
Epoch9                             51.911620                          196.211265
Epoch10                             0.000000                          196.211265
Epoch11                             0.000000                          196.211265
Epoch12                             0.000000                          196.211265
Epoch13                             0.000000                          196.211265
Epoch14                             0.000000                          196.211265
Epoch15                             0.000000                          196.211265
Epoch16                             0.000000                          196.211265
