Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.223276                            0.223276
Epoch2                              0.238815                            0.462091
Epoch3                              0.303036                            0.765127
Epoch4                              0.554196                            1.319323
Epoch5                              0.476916                            1.796239
Epoch6                              0.343931                            2.140170
Epoch7                              0.000000                            2.140170
Epoch8                              0.000000                            2.140170
Epoch9                              0.000000                            2.140170
Epoch10                             0.000000                            2.140170
Epoch11                             0.000000                            2.140170
Epoch12                             0.000000                            2.140170
Epoch13                             0.000000                            2.140170
Epoch14                             0.000000                            2.140170
Epoch15                             0.000000                            2.140170
Epoch16                             0.000000                            2.140170
Epoch17                             0.000000                            2.140170
Epoch18                             0.000000                            2.140170
Epoch19                             0.000000                            2.140170
Epoch20                             0.000000                            2.140170
Epoch21                             0.000000                            2.140170
Epoch22                             0.000000                            2.140170
Epoch23                             0.000000                            2.140170
Epoch24                             0.000000                            2.140170
Epoch25                             0.000000                            2.140170
Epoch26                             0.000000                            2.140170
Epoch27                             0.000000                            2.140170
Epoch28                             0.000000                            2.140170
Epoch29                             0.000000                            2.140170
