Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              5.863861                            5.863861
Epoch5                             85.999916                           91.863777
Epoch6                             53.701794                          145.565571
Epoch7                            240.634898                          386.200469
Epoch8                            121.206718                          507.407186
Epoch9                            346.350672                          853.757858
Epoch10                            32.719750                          886.477608
Epoch11                            67.661190                          954.138798
Epoch12                           125.303900                        1,079.442698
Epoch13                           108.478225                        1,187.920922
Epoch14                            96.910355                        1,284.831277
Epoch15                           139.342005                        1,424.173282
Epoch16                           126.041468                        1,550.214750
Epoch17                            54.390295                        1,604.605045
Epoch18                            38.117456                        1,642.722501
Epoch19                            41.628680                        1,684.351181
Epoch20                            42.779362                        1,727.130543
Epoch21                            43.878412                        1,771.008955
Epoch22                            18.976219                        1,789.985173
Epoch23                            33.830720                        1,823.815894
Epoch24                             0.000000                        1,823.815894
Epoch25                             0.000000                        1,823.815894
Epoch26                             0.000000                        1,823.815894
Epoch27                             0.000000                        1,823.815894
Epoch28                             0.000000                        1,823.815894
Epoch29                             0.000000                        1,823.815894
Epoch30                             0.000000                        1,823.815894
