Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              3.175590                            3.175590
Epoch3                              0.373101                            3.548691
Epoch4                              0.000000                            3.548691
Epoch5                              0.000000                            3.548691
Epoch6                              0.000000                            3.548691
Epoch7                              0.000000                            3.548691
Epoch8                              0.000000                            3.548691
Epoch9                              0.072366                            3.621057
Epoch10                             0.000000                            3.621057
Epoch11                             0.000000                            3.621057
Epoch12                             0.000000                            3.621057
Epoch13                             0.000000                            3.621057
Epoch14                             0.000000                            3.621057
Epoch15                             0.000000                            3.621057
Epoch16                             0.000000                            3.621057
Epoch17                             0.000000                            3.621057
Epoch18                             0.000000                            3.621057
Epoch19                             0.000000                            3.621057
Epoch20                             0.000000                            3.621057
Epoch21                             0.000000                            3.621057
Epoch22                             0.000000                            3.621057
Epoch23                             0.000000                            3.621057
Epoch24                             0.000000                            3.621057
Epoch25                             0.000000                            3.621057
Epoch26                             0.000000                            3.621057
Epoch27                             0.000000                            3.621057
Epoch28                             0.000000                            3.621057
