Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              1.312313                            1.312313
Epoch9                              3.799373                            5.111686
Epoch10                             0.008826                            5.120512
Epoch11                             0.000000                            5.120512
Epoch12                             0.000000                            5.120512
Epoch13                             0.000000                            5.120512
Epoch14                             0.000000                            5.120512
Epoch15                             0.000000                            5.120512
Epoch16                             0.000000                            5.120512
Epoch17                             0.000000                            5.120512
Epoch18                             0.000000                            5.120512
Epoch19                             0.000000                            5.120512
Epoch20                             0.000000                            5.120512
Epoch21                             0.000000                            5.120512
Epoch22                             0.000000                            5.120512
Epoch23                             0.000000                            5.120512
Epoch24                             0.000000                            5.120512
Epoch25                             0.000000                            5.120512
Epoch26                             0.000000                            5.120512
Epoch27                             0.000000                            5.120512
Epoch28                             0.000000                            5.120512
