Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              3.737702                            3.737702
Epoch4                              0.938803                            4.676505
Epoch5                              0.000000                            4.676505
Epoch6                              0.000000                            4.676505
Epoch7                              0.000000                            4.676505
Epoch8                              0.000000                            4.676505
Epoch9                              0.000000                            4.676505
Epoch10                             0.000000                            4.676505
Epoch11                             0.000000                            4.676505
Epoch12                             0.000000                            4.676505
Epoch13                             0.000000                            4.676505
Epoch14                             0.000000                            4.676505
Epoch15                             0.000000                            4.676505
Epoch16                             0.000000                            4.676505
Epoch17                             0.000000                            4.676505
Epoch18                             0.000000                            4.676505
Epoch19                             0.000000                            4.676505
Epoch20                             0.000000                            4.676505
Epoch21                             0.000000                            4.676505
Epoch22                             0.000000                            4.676505
Epoch23                             0.000000                            4.676505
Epoch24                             0.000000                            4.676505
Epoch25                             0.000000                            4.676505
Epoch26                             0.000000                            4.676505
Epoch27                             0.000000                            4.676505
