Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              1.248780                            1.248780
Epoch3                              0.000000                            1.248780
Epoch4                              0.000000                            1.248780
Epoch5                              0.000000                            1.248780
Epoch6                              0.000000                            1.248780
Epoch7                              0.000000                            1.248780
Epoch8                              0.000000                            1.248780
Epoch9                              0.000000                            1.248780
Epoch10                             0.000000                            1.248780
Epoch11                             0.000000                            1.248780
Epoch12                             0.000000                            1.248780
Epoch13                             0.000000                            1.248780
Epoch14                             0.000000                            1.248780
