Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                             12.428046                           12.428046
Epoch5                              0.000000                           12.428046
Epoch6                              0.000000                           12.428046
Epoch7                              0.000000                           12.428046
Epoch8                              0.000000                           12.428046
Epoch9                              1.630022                           14.058069
Epoch10                             0.000000                           14.058069
Epoch11                             0.000000                           14.058069
Epoch12                             0.000000                           14.058069
Epoch13                             0.000000                           14.058069
Epoch14                             0.000000                           14.058069
Epoch15                             0.000000                           14.058069
