Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                           346.214371                          346.214371
Epoch12                           805.843401                        1,152.057772
Epoch13                           413.638715                        1,565.696487
Epoch14                         1,016.311050                        2,582.007537
Epoch15                             8.456527                        2,590.464064
Epoch16                           118.916261                        2,709.380325
Epoch17                            62.521874                        2,771.902199
Epoch18                           127.609208                        2,899.511407
Epoch19                            86.185231                        2,985.696637
Epoch20                           196.645377                        3,182.342014
Epoch21                            29.893463                        3,212.235477
Epoch22                            82.361097                        3,294.596575
Epoch23                            90.793907                        3,385.390481
Epoch24                            45.690199                        3,431.080680
Epoch25                            90.410781                        3,521.491462
Epoch26                           134.195256                        3,655.686718
Epoch27                             6.682027                        3,662.368745
