Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                           357.623913                          357.623913
Epoch12                            70.441065                          428.064979
Epoch13                             0.000000                          428.064979
Epoch14                             0.000000                          428.064979
Epoch15                             0.000000                          428.064979
Epoch16                             0.000000                          428.064979
Epoch17                             0.000000                          428.064979
Epoch18                             0.000000                          428.064979
Epoch19                            19.845063                          447.910042
Epoch20                             0.000000                          447.910042
Epoch21                             0.000000                          447.910042
Epoch22                             0.000000                          447.910042
Epoch23                             0.000000                          447.910042
Epoch24                             0.000000                          447.910042
Epoch25                             0.000000                          447.910042
Epoch26                             0.000000                          447.910042
Epoch27                             0.000000                          447.910042
