Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              5.717649                            5.717649
Epoch6                              0.080984                            5.798633
Epoch7                             11.432637                           17.231269
Epoch8                              0.441721                           17.672990
Epoch9                             34.693046                           52.366037
Epoch10                            24.149242                           76.515279
Epoch11                             0.000000                           76.515279
Epoch12                             0.000000                           76.515279
Epoch13                             0.000000                           76.515279
Epoch14                             0.000000                           76.515279
Epoch15                             0.000000                           76.515279
Epoch16                             0.000000                           76.515279
Epoch17                             0.000000                           76.515279
Epoch18                             0.000000                           76.515279
Epoch19                             0.000000                           76.515279
Epoch20                             0.000000                           76.515279
Epoch21                             0.000000                           76.515279
Epoch22                             0.000000                           76.515279
Epoch23                             0.000000                           76.515279
Epoch24                             0.000000                           76.515279
Epoch25                             0.000000                           76.515279
Epoch26                             0.000000                           76.515279
Epoch27                             0.000000                           76.515279
