Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                             0.000000                            0.000000
Epoch15                           744.297776                          744.297776
Epoch16                           740.616974                        1,484.914750
Epoch17                           543.167860                        2,028.082610
Epoch18                           154.848289                        2,182.930899
Epoch19                           108.616716                        2,291.547615
Epoch20                             0.000000                        2,291.547615
Epoch21                             0.000000                        2,291.547615
Epoch22                             0.000000                        2,291.547615
Epoch23                             0.000000                        2,291.547615
Epoch24                             0.000000                        2,291.547615
Epoch25                             0.000000                        2,291.547615
Epoch26                             0.000000                        2,291.547615
Epoch27                             0.000000                        2,291.547615
Epoch28                             0.000000                        2,291.547615
Epoch29                             0.000000                        2,291.547615
