Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                             0.000000                            0.000000
Epoch15                             0.000000                            0.000000
Epoch16                            22.156642                           22.156642
Epoch17                            82.971984                          105.128626
Epoch18                            91.035864                          196.164490
Epoch19                           349.877183                          546.041673
Epoch20                           166.846942                          712.888615
Epoch21                            67.876747                          780.765363
Epoch22                            91.520408                          872.285771
Epoch23                            57.885159                          930.170929
Epoch24                            50.435630                          980.606560
Epoch25                            80.392794                        1,060.999354
Epoch26                            41.131431                        1,102.130784
Epoch27                            41.380301                        1,143.511085
Epoch28                           108.176997                        1,251.688083
Epoch29                           150.940836                        1,402.628918
