Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.867570                          310.867570
Epoch1                              0.000000                          310.867570
Epoch2                              0.000000                          310.867570
Epoch3                              0.000000                          310.867570
Epoch4                              0.000000                          310.867570
Epoch5                              0.145272                          311.012841
Epoch6                              0.000000                          311.012841
Epoch7                              0.000000                          311.012841
Epoch8                              0.000000                          311.012841
Epoch9                              0.000000                          311.012841
Epoch10                             0.000000                          311.012841
Epoch11                             0.000000                          311.012841
Epoch12                             0.000000                          311.012841
Epoch13                             0.000000                          311.012841
Epoch14                             0.000000                          311.012841
