Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              2.188277                            2.188277
Epoch3                              1.190488                            3.378765
Epoch4                              0.000000                            3.378765
Epoch5                              0.000000                            3.378765
Epoch6                              0.000000                            3.378765
Epoch7                              0.000000                            3.378765
Epoch8                              0.000000                            3.378765
Epoch9                              0.000000                            3.378765
Epoch10                             0.000000                            3.378765
Epoch11                             0.000000                            3.378765
Epoch12                             0.000000                            3.378765
Epoch13                             0.000000                            3.378765
Epoch14                             0.000000                            3.378765
