Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              7.757021                            7.757021
Epoch8                             28.017167                           35.774188
Epoch9                              0.000000                           35.774188
Epoch10                             0.000000                           35.774188
Epoch11                             1.459021                           37.233209
Epoch12                             9.664462                           46.897671
Epoch13                             0.000000                           46.897671
Epoch14                             0.000000                           46.897671
Epoch15                             0.000000                           46.897671
Epoch16                             0.000000                           46.897671
Epoch17                             0.000000                           46.897671
Epoch18                             0.000000                           46.897671
Epoch19                             0.000000                           46.897671
Epoch20                             0.000000                           46.897671
Epoch21                             0.000000                           46.897671
Epoch22                             0.000000                           46.897671
Epoch23                             0.000000                           46.897671
Epoch24                             0.000000                           46.897671
Epoch25                             0.000000                           46.897671
Epoch26                             0.000000                           46.897671
Epoch27                             0.000000                           46.897671
Epoch28                             0.000000                           46.897671
Epoch29                             0.000000                           46.897671
