Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              2.062774                            2.062774
Epoch7                             52.163621                           54.226396
Epoch8                            148.676607                          202.903003
Epoch9                             13.396570                          216.299573
Epoch10                             2.593659                          218.893232
Epoch11                             0.000000                          218.893232
Epoch12                             0.000000                          218.893232
Epoch13                             0.000000                          218.893232
Epoch14                             0.000000                          218.893232
Epoch15                             0.000000                          218.893232
Epoch16                             0.000000                          218.893232
Epoch17                             0.000000                          218.893232
Epoch18                             0.000000                          218.893232
Epoch19                             0.000000                          218.893232
Epoch20                             0.000000                          218.893232
Epoch21                             0.000000                          218.893232
Epoch22                             0.000000                          218.893232
Epoch23                             0.000000                          218.893232
Epoch24                             0.000000                          218.893232
Epoch25                             0.000000                          218.893232
Epoch26                             0.000000                          218.893232
Epoch27                             0.000000                          218.893232
Epoch28                             0.000000                          218.893232
Epoch29                             0.000000                          218.893232
Epoch30                             0.000000                          218.893232
