Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                          1,963.953048                        1,963.953048
Epoch10                         2,313.600125                        4,277.553173
Epoch11                         4,482.130762                        8,759.683935
Epoch12                        29,241.623349                       38,001.307284
Epoch13                        56,545.472118                       94,546.779401
Epoch14                        82,021.596361                      176,568.375763
Epoch15                       130,281.564659                      306,849.940422
Epoch16                        24,010.408086                      330,860.348507
