Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.033400                            0.033400
Epoch1                              0.552030                            0.585430
Epoch2                              0.000000                            0.585430
Epoch3                              0.000000                            0.585430
Epoch4                              0.000000                            0.585430
Epoch5                              0.000000                            0.585430
Epoch6                              0.000000                            0.585430
Epoch7                              0.000000                            0.585430
Epoch8                              0.015601                            0.601031
Epoch9                              0.000000                            0.601031
Epoch10                             0.000000                            0.601031
Epoch11                             0.000000                            0.601031
Epoch12                             0.000000                            0.601031
Epoch13                             0.000000                            0.601031
Epoch14                             0.000000                            0.601031
Epoch15                             0.000000                            0.601031
Epoch16                             0.000000                            0.601031
Epoch17                             0.000000                            0.601031
