Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              3.314526                            3.314526
Epoch9                              0.976856                            4.291382
Epoch10                             0.170319                            4.461701
Epoch11                             0.000000                            4.461701
Epoch12                             0.000000                            4.461701
Epoch13                             0.000000                            4.461701
Epoch14                             0.000000                            4.461701
Epoch15                             0.000000                            4.461701
Epoch16                             0.000000                            4.461701
Epoch17                             0.000000                            4.461701
Epoch18                             0.000000                            4.461701
Epoch19                             0.000000                            4.461701
Epoch20                             0.000000                            4.461701
Epoch21                             0.000000                            4.461701
Epoch22                             0.000000                            4.461701
Epoch23                             0.000000                            4.461701
Epoch24                             0.000000                            4.461701
Epoch25                             0.000000                            4.461701
Epoch26                             0.000000                            4.461701
Epoch27                             0.000000                            4.461701
