Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.127029                            0.127029
Epoch7                              0.000000                            0.127029
Epoch8                              0.000000                            0.127029
Epoch9                              0.000000                            0.127029
Epoch10                             1.205654                            1.332683
Epoch11                             0.000000                            1.332683
Epoch12                             0.000000                            1.332683
Epoch13                             0.000000                            1.332683
Epoch14                             0.000000                            1.332683
Epoch15                             0.000000                            1.332683
Epoch16                             0.000000                            1.332683
Epoch17                             0.000000                            1.332683
