Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.121811                            0.121811
Epoch2                              0.285235                            0.407046
Epoch3                              1.913847                            2.320893
Epoch4                              0.718367                            3.039261
Epoch5                              0.778754                            3.818014
Epoch6                              0.000000                            3.818014
Epoch7                              0.000000                            3.818014
Epoch8                              0.000000                            3.818014
Epoch9                              0.000000                            3.818014
Epoch10                             0.000000                            3.818014
Epoch11                             0.000000                            3.818014
Epoch12                             0.000000                            3.818014
Epoch13                             0.000000                            3.818014
Epoch14                             0.000000                            3.818014
Epoch15                             0.000000                            3.818014
Epoch16                             0.000000                            3.818014
Epoch17                             0.000000                            3.818014
Epoch18                             0.000000                            3.818014
Epoch19                             0.000000                            3.818014
Epoch20                             0.000000                            3.818014
Epoch21                             0.000000                            3.818014
Epoch22                             0.000000                            3.818014
Epoch23                             0.000000                            3.818014
Epoch24                             0.000000                            3.818014
Epoch25                             0.000000                            3.818014
Epoch26                             0.000000                            3.818014
Epoch27                             0.000000                            3.818014
Epoch28                             0.000000                            3.818014
Epoch29                             0.000000                            3.818014
Epoch30                             0.000000                            3.818014
