Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              5.973419                            5.973419
Epoch3                             14.959497                           20.932916
Epoch4                              0.000000                           20.932916
Epoch5                              0.000000                           20.932916
Epoch6                              0.000000                           20.932916
Epoch7                              0.000000                           20.932916
Epoch8                              6.279853                           27.212770
Epoch9                             20.257629                           47.470399
Epoch10                            11.699287                           59.169686
Epoch11                            10.748571                           69.918257
Epoch12                             0.000000                           69.918257
Epoch13                             0.000000                           69.918257
Epoch14                            38.465048                          108.383304
Epoch15                           131.226972                          239.610277
