Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.035283                            0.035283
Epoch4                              0.724487                            0.759770
Epoch5                              0.000000                            0.759770
Epoch6                              0.000000                            0.759770
Epoch7                              0.000000                            0.759770
Epoch8                              0.000000                            0.759770
Epoch9                              0.000000                            0.759770
Epoch10                             0.000000                            0.759770
Epoch11                             0.000000                            0.759770
Epoch12                             0.000000                            0.759770
Epoch13                             0.000000                            0.759770
Epoch14                             0.000000                            0.759770
Epoch15                             0.000000                            0.759770
Epoch16                             0.000000                            0.759770
Epoch17                             0.000000                            0.759770
