Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              3.265228                            3.265228
Epoch8                              0.024976                            3.290204
Epoch9                              9.268530                           12.558734
Epoch10                             0.000000                           12.558734
Epoch11                             0.000000                           12.558734
Epoch12                             0.000000                           12.558734
Epoch13                             0.000000                           12.558734
Epoch14                             0.000000                           12.558734
Epoch15                             0.000000                           12.558734
Epoch16                             0.000000                           12.558734
Epoch17                             0.000000                           12.558734
