Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                            184.332468                          184.332468
Epoch7                            291.850442                          476.182910
Epoch8                             64.844166                          541.027076
Epoch9                            108.858527                          649.885603
Epoch10                           121.848511                          771.734114
Epoch11                           172.353268                          944.087382
Epoch12                            47.423102                          991.510485
Epoch13                             4.785995                          996.296479
Epoch14                           246.364992                        1,242.661471
Epoch15                            75.842380                        1,318.503851
Epoch16                             4.871513                        1,323.375364
Epoch17                             0.000000                        1,323.375364
Epoch18                             0.000000                        1,323.375364
Epoch19                             0.000000                        1,323.375364
Epoch20                             0.000000                        1,323.375364
Epoch21                             0.000000                        1,323.375364
Epoch22                             0.000000                        1,323.375364
Epoch23                             0.000000                        1,323.375364
Epoch24                             0.000000                        1,323.375364
Epoch25                             0.000000                        1,323.375364
Epoch26                             0.000000                        1,323.375364
Epoch27                             0.000000                        1,323.375364
Epoch28                             0.000000                        1,323.375364
