Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              2.871356                            2.871356
Epoch3                              4.134787                            7.006143
Epoch4                              0.000000                            7.006143
Epoch5                              0.000000                            7.006143
Epoch6                              0.000000                            7.006143
Epoch7                              0.000000                            7.006143
Epoch8                              0.000000                            7.006143
Epoch9                              0.000000                            7.006143
Epoch10                             0.000000                            7.006143
Epoch11                             0.000000                            7.006143
Epoch12                             0.000000                            7.006143
Epoch13                             0.000000                            7.006143
Epoch14                             0.000000                            7.006143
Epoch15                             0.000000                            7.006143
Epoch16                             0.000000                            7.006143
Epoch17                             0.000000                            7.006143
Epoch18                             0.000000                            7.006143
Epoch19                             0.000000                            7.006143
Epoch20                             0.000000                            7.006143
Epoch21                             0.000000                            7.006143
Epoch22                             0.000000                            7.006143
Epoch23                             0.000000                            7.006143
Epoch24                             0.000000                            7.006143
Epoch25                             0.000000                            7.006143
Epoch26                             0.000000                            7.006143
Epoch27                             0.000000                            7.006143
Epoch28                             0.000000                            7.006143
