Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.024387                            0.024387
Epoch4                              0.000000                            0.024387
Epoch5                              0.000000                            0.024387
Epoch6                              0.015657                            0.040044
Epoch7                              0.005423                            0.045466
Epoch8                              0.000000                            0.045466
Epoch9                              0.018305                            0.063771
Epoch10                             0.000000                            0.063771
Epoch11                             0.000000                            0.063771
Epoch12                             0.000000                            0.063771
Epoch13                             0.000000                            0.063771
Epoch14                             0.000000                            0.063771
