Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              1.114298                            1.114298
Epoch7                              8.130677                            9.244975
Epoch8                              0.000000                            9.244975
Epoch9                              0.000000                            9.244975
Epoch10                             0.000000                            9.244975
Epoch11                             0.000000                            9.244975
Epoch12                             0.000000                            9.244975
Epoch13                             0.000000                            9.244975
Epoch14                             0.000000                            9.244975
Epoch15                             0.000000                            9.244975
Epoch16                             0.000000                            9.244975
Epoch17                             0.000000                            9.244975
Epoch18                             0.000000                            9.244975
Epoch19                             0.000000                            9.244975
Epoch20                             0.000000                            9.244975
Epoch21                             0.000000                            9.244975
Epoch22                             0.000000                            9.244975
Epoch23                             0.000000                            9.244975
Epoch24                             0.000000                            9.244975
Epoch25                             0.339434                            9.584409
Epoch26                             0.000000                            9.584409
Epoch27                             0.000000                            9.584409
Epoch28                             0.000000                            9.584409
Epoch29                             0.000000                            9.584409
Epoch30                             0.000000                            9.584409
