Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.444013                            0.444013
Epoch3                              1.772427                            2.216440
Epoch4                              0.000000                            2.216440
Epoch5                              0.130535                            2.346975
Epoch6                              0.000000                            2.346975
Epoch7                              0.000000                            2.346975
Epoch8                              0.000000                            2.346975
Epoch9                              0.000000                            2.346975
Epoch10                             0.000000                            2.346975
Epoch11                             0.000000                            2.346975
Epoch12                             0.000000                            2.346975
Epoch13                             0.000000                            2.346975
Epoch14                             0.000000                            2.346975
Epoch15                             0.000000                            2.346975
Epoch16                             0.000000                            2.346975
Epoch17                             0.000000                            2.346975
Epoch18                             0.000000                            2.346975
Epoch19                             0.000000                            2.346975
Epoch20                             0.000000                            2.346975
Epoch21                             0.000000                            2.346975
Epoch22                             0.000000                            2.346975
Epoch23                             0.000000                            2.346975
Epoch24                             0.000000                            2.346975
Epoch25                             0.000000                            2.346975
Epoch26                             0.000000                            2.346975
Epoch27                             0.000000                            2.346975
Epoch28                             0.000000                            2.346975
Epoch29                             0.000000                            2.346975
Epoch30                             0.000000                            2.346975
Epoch31                             0.000000                            2.346975
