Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              1.559740                            1.559740
Epoch3                              0.299706                            1.859445
Epoch4                              0.000000                            1.859445
Epoch5                              0.012322                            1.871768
Epoch6                              0.000000                            1.871768
Epoch7                              0.000000                            1.871768
Epoch8                              0.000000                            1.871768
Epoch9                              0.000000                            1.871768
Epoch10                             0.000000                            1.871768
Epoch11                             0.000000                            1.871768
Epoch12                             0.000000                            1.871768
Epoch13                             0.000000                            1.871768
Epoch14                             0.000000                            1.871768
Epoch15                             0.000000                            1.871768
Epoch16                             0.000000                            1.871768
Epoch17                             0.000000                            1.871768
Epoch18                             0.000000                            1.871768
Epoch19                             0.000000                            1.871768
Epoch20                             0.000000                            1.871768
Epoch21                             0.000000                            1.871768
Epoch22                             0.000000                            1.871768
Epoch23                             0.000000                            1.871768
Epoch24                             0.000000                            1.871768
Epoch25                             0.000000                            1.871768
Epoch26                             0.000000                            1.871768
Epoch27                             0.000000                            1.871768
