Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                             0.000000                            0.000000
Epoch15                             0.000000                            0.000000
Epoch16                             0.000000                            0.000000
Epoch17                             0.000000                            0.000000
Epoch18                            35.208433                           35.208433
Epoch19                           234.026321                          269.234753
Epoch20                           276.267351                          545.502105
Epoch21                            57.041444                          602.543548
Epoch22                            47.165180                          649.708728
Epoch23                             0.000000                          649.708728
Epoch24                            27.216047                          676.924776
Epoch25                            37.349784                          714.274560
Epoch26                            21.382693                          735.657253
Epoch27                            13.668049                          749.325302
Epoch28                            88.257281                          837.582583
Epoch29                           123.537778                          961.120362
