Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                             11.162198                           11.162198
Epoch3                              4.301693                           15.463892
Epoch4                              0.000000                           15.463892
Epoch5                              0.000000                           15.463892
Epoch6                              0.000000                           15.463892
Epoch7                              0.000000                           15.463892
Epoch8                              1.490157                           16.954049
Epoch9                              0.000000                           16.954049
Epoch10                             0.000000                           16.954049
Epoch11                             0.000000                           16.954049
Epoch12                             0.000000                           16.954049
Epoch13                             0.000000                           16.954049
Epoch14                             0.000000                           16.954049
Epoch15                             0.000000                           16.954049
Epoch16                             0.000000                           16.954049
