Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                          1,094.827834                        1,094.827834
Epoch6                            247.726662                        1,342.554497
Epoch7                              0.000000                        1,342.554497
Epoch8                            187.074652                        1,529.629149
Epoch9                            353.265981                        1,882.895130
Epoch10                           143.379463                        2,026.274593
Epoch11                           117.404386                        2,143.678978
Epoch12                           114.452041                        2,258.131019
Epoch13                             0.000000                        2,258.131019
Epoch14                             0.000000                        2,258.131019
