Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                            85.461686                           85.461686
Epoch11                             0.000000                           85.461686
Epoch12                           303.034112                          388.495798
Epoch13                           436.689961                          825.185760
Epoch14                           237.119626                        1,062.305386
Epoch15                             0.714944                        1,063.020329
Epoch16                             0.000000                        1,063.020329
Epoch17                             0.000000                        1,063.020329
Epoch18                             0.000000                        1,063.020329
Epoch19                             0.010943                        1,063.031273
Epoch20                             0.004942                        1,063.036215
Epoch21                             0.000000                        1,063.036215
Epoch22                             0.000000                        1,063.036215
Epoch23                             0.000000                        1,063.036215
Epoch24                             0.000000                        1,063.036215
Epoch25                             0.000000                        1,063.036215
Epoch26                             0.000000                        1,063.036215
Epoch27                             0.000000                        1,063.036215
Epoch28                             0.000000                        1,063.036215
