Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              8.247673                            8.247673
Epoch3                              0.000000                            8.247673
Epoch4                              0.000000                            8.247673
Epoch5                              0.000000                            8.247673
Epoch6                              0.000000                            8.247673
Epoch7                              0.000000                            8.247673
Epoch8                              0.000000                            8.247673
Epoch9                              0.000000                            8.247673
Epoch10                             0.000000                            8.247673
Epoch11                             0.000000                            8.247673
Epoch12                             0.000000                            8.247673
Epoch13                             0.000000                            8.247673
Epoch14                             0.000000                            8.247673
Epoch15                             0.000000                            8.247673
