Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.500740                            0.500740
Epoch5                              3.964004                            4.464744
Epoch6                              0.803276                            5.268020
Epoch7                              3.311939                            8.579959
Epoch8                              5.224527                           13.804486
Epoch9                              0.000000                           13.804486
Epoch10                             0.000000                           13.804486
Epoch11                             0.000000                           13.804486
Epoch12                             0.000000                           13.804486
Epoch13                             0.000000                           13.804486
Epoch14                             0.000000                           13.804486
Epoch15                             0.000000                           13.804486
Epoch16                             0.000000                           13.804486
Epoch17                             0.000000                           13.804486
Epoch18                             0.000000                           13.804486
Epoch19                             0.000000                           13.804486
Epoch20                             0.000000                           13.804486
Epoch21                             0.000000                           13.804486
Epoch22                             0.000000                           13.804486
Epoch23                             0.000000                           13.804486
Epoch24                             0.000000                           13.804486
Epoch25                             0.000000                           13.804486
Epoch26                             0.000000                           13.804486
Epoch27                             0.000000                           13.804486
Epoch28                             0.000000                           13.804486
Epoch29                             0.000000                           13.804486
Epoch30                             0.000000                           13.804486
Epoch31                             0.000000                           13.804486
