Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                            12.373750                           12.373750
Epoch12                           178.332465                          190.706214
Epoch13                           116.182099                          306.888313
Epoch14                           156.641465                          463.529778
Epoch15                             0.000000                          463.529778
Epoch16                             0.000000                          463.529778
