Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              4.421704                            4.421704
Epoch9                              2.152908                            6.574612
Epoch10                             5.139885                           11.714498
Epoch11                             3.178968                           14.893465
Epoch12                             0.389135                           15.282600
Epoch13                             0.000000                           15.282600
Epoch14                             0.000000                           15.282600
Epoch15                             0.000000                           15.282600
Epoch16                             0.000000                           15.282600
Epoch17                             0.000000                           15.282600
