Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                         1,494.123968                        1,494.123968
Epoch11                         1,312.290821                        2,806.414789
Epoch12                         1,257.507942                        4,063.922730
Epoch13                         1,306.569824                        5,370.492554
Epoch14                           954.580342                        6,325.072896
Epoch15                         1,263.463419                        7,588.536315
Epoch16                           348.653497                        7,937.189811
