Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                            88.997263                           88.997263
Epoch11                           212.928711                          301.925975
Epoch12                           906.523346                        1,208.449321
Epoch13                         1,881.046688                        3,089.496009
Epoch14                           220.435473                        3,309.931481
Epoch15                             0.000000                        3,309.931481
Epoch16                         2,152.993307                        5,462.924788
Epoch17                           502.745080                        5,965.669869
Epoch18                            19.417589                        5,985.087458
Epoch19                             0.000000                        5,985.087458
Epoch20                             0.000000                        5,985.087458
Epoch21                             0.000000                        5,985.087458
Epoch22                             0.000000                        5,985.087458
Epoch23                             0.000000                        5,985.087458
Epoch24                             0.000000                        5,985.087458
Epoch25                             0.000000                        5,985.087458
Epoch26                             0.000000                        5,985.087458
Epoch27                             0.000000                        5,985.087458
Epoch28                             0.000000                        5,985.087458
Epoch29                             0.000000                        5,985.087458
Epoch30                             0.000000                        5,985.087458
Epoch31                             0.000000                        5,985.087458
