Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.680639                            0.680639
Epoch1                              0.607578                            1.288217
Epoch2                              0.063896                            1.352112
Epoch3                              0.347507                            1.699619
Epoch4                              2.754915                            4.454534
Epoch5                              1.537238                            5.991773
Epoch6                              0.748180                            6.739953
Epoch7                              2.271916                            9.011869
Epoch8                              2.833760                           11.845629
Epoch9                              0.013415                           11.859044
Epoch10                             0.000000                           11.859044
Epoch11                             1.354428                           13.213471
Epoch12                             2.476337                           15.689808
Epoch13                             0.000000                           15.689808
Epoch14                             0.000000                           15.689808
Epoch15                             0.000000                           15.689808
Epoch16                             0.000000                           15.689808
