Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              1.161734                            1.161734
Epoch2                              0.250913                            1.412647
Epoch3                              0.136801                            1.549449
Epoch4                              0.000000                            1.549449
Epoch5                              0.000000                            1.549449
Epoch6                              0.000000                            1.549449
Epoch7                              0.000000                            1.549449
Epoch8                              0.000000                            1.549449
Epoch9                              0.000000                            1.549449
Epoch10                             0.000000                            1.549449
Epoch11                             0.000000                            1.549449
Epoch12                             0.000000                            1.549449
Epoch13                             0.000000                            1.549449
Epoch14                             0.000000                            1.549449
Epoch15                             0.000000                            1.549449
