Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.010293                            0.010293
Epoch3                              0.000000                            0.010293
Epoch4                              0.000000                            0.010293
Epoch5                              0.000000                            0.010293
Epoch6                              0.000000                            0.010293
Epoch7                              0.000000                            0.010293
Epoch8                              0.000000                            0.010293
Epoch9                              0.000000                            0.010293
Epoch10                             0.000000                            0.010293
Epoch11                             0.000000                            0.010293
Epoch12                             0.000000                            0.010293
Epoch13                             0.000000                            0.010293
Epoch14                             0.000000                            0.010293
Epoch15                             0.000000                            0.010293
Epoch16                             0.000000                            0.010293
Epoch17                             0.000000                            0.010293
Epoch18                             0.000000                            0.010293
Epoch19                             0.000000                            0.010293
Epoch20                             0.000000                            0.010293
Epoch21                             0.000000                            0.010293
Epoch22                             0.000000                            0.010293
Epoch23                             0.000000                            0.010293
Epoch24                             0.000000                            0.010293
Epoch25                             0.000000                            0.010293
Epoch26                             0.000000                            0.010293
Epoch27                             0.000000                            0.010293
Epoch28                             0.000000                            0.010293
Epoch29                             0.000000                            0.010293
Epoch30                             0.000000                            0.010293
