Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                             0.000000                            0.000000
Epoch15                             0.000000                            0.000000
Epoch16                             0.000000                            0.000000
Epoch17                             0.000000                            0.000000
Epoch18                             0.000000                            0.000000
Epoch19                           278.529849                          278.529849
Epoch20                            24.496245                          303.026094
Epoch21                            58.410470                          361.436564
Epoch22                           174.317748                          535.754312
Epoch23                            29.086098                          564.840410
Epoch24                           589.063506                        1,153.903916
Epoch25                           522.962868                        1,676.866784
Epoch26                           240.211302                        1,917.078086
Epoch27                           438.414140                        2,355.492226
Epoch28                           127.461328                        2,482.953555
Epoch29                            41.874320                        2,524.827875
Epoch30                             5.191449                        2,530.019324
