Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              3.760481                            3.760481
Epoch1                              0.091458                            3.851939
Epoch2                              0.000000                            3.851939
Epoch3                              0.017811                            3.869750
Epoch4                              0.000000                            3.869750
Epoch5                              0.000000                            3.869750
Epoch6                              0.000000                            3.869750
Epoch7                              0.000000                            3.869750
Epoch8                              0.000000                            3.869750
Epoch9                              0.000000                            3.869750
Epoch10                             0.000000                            3.869750
Epoch11                             0.000000                            3.869750
Epoch12                             0.000000                            3.869750
Epoch13                             0.000000                            3.869750
Epoch14                             0.000000                            3.869750
