Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.002177                            0.002177
Epoch8                             83.108877                           83.111054
Epoch9                             85.415424                          168.526477
Epoch10                            17.837362                          186.363839
Epoch11                             0.000000                          186.363839
Epoch12                             0.000000                          186.363839
Epoch13                             0.000000                          186.363839
Epoch14                             0.000000                          186.363839
Epoch15                             0.000000                          186.363839
