Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.043301                            0.043301
Epoch4                              0.000000                            0.043301
Epoch5                              0.000000                            0.043301
Epoch6                              0.000000                            0.043301
Epoch7                              0.000000                            0.043301
Epoch8                              0.000000                            0.043301
Epoch9                              0.000000                            0.043301
Epoch10                             0.000000                            0.043301
Epoch11                             0.000000                            0.043301
Epoch12                             0.000000                            0.043301
Epoch13                             0.000000                            0.043301
Epoch14                             0.000000                            0.043301
Epoch15                             0.000000                            0.043301
Epoch16                             0.000000                            0.043301
Epoch17                             0.000000                            0.043301
Epoch18                             0.000000                            0.043301
Epoch19                             0.000000                            0.043301
Epoch20                             0.000000                            0.043301
Epoch21                             0.000000                            0.043301
Epoch22                             0.000000                            0.043301
Epoch23                             0.000000                            0.043301
Epoch24                             0.000000                            0.043301
Epoch25                             0.000000                            0.043301
Epoch26                             0.000000                            0.043301
Epoch27                             0.000000                            0.043301
Epoch28                             0.000000                            0.043301
Epoch29                             0.000000                            0.043301
Epoch30                             0.000000                            0.043301
