Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             8.897656                            8.897656
Epoch12                            22.647364                           31.545020
Epoch13                            42.601507                           74.146526
Epoch14                            69.629011                          143.775537
Epoch15                             0.000000                          143.775537
Epoch16                             0.000000                          143.775537
Epoch17                             0.000000                          143.775537
