Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.315102                            0.315102
Epoch8                              3.534369                            3.849471
Epoch9                              0.000000                            3.849471
Epoch10                             0.000000                            3.849471
Epoch11                             0.000000                            3.849471
Epoch12                             0.000000                            3.849471
Epoch13                             0.000000                            3.849471
Epoch14                             0.000000                            3.849471
Epoch15                             0.000000                            3.849471
Epoch16                             0.000000                            3.849471
Epoch17                             0.000000                            3.849471
Epoch18                             0.000000                            3.849471
Epoch19                             0.000000                            3.849471
Epoch20                             0.000000                            3.849471
Epoch21                             0.000000                            3.849471
Epoch22                             0.000000                            3.849471
Epoch23                             0.000000                            3.849471
Epoch24                             0.000000                            3.849471
Epoch25                             0.000000                            3.849471
Epoch26                             0.000000                            3.849471
Epoch27                             0.000000                            3.849471
