Epoch#                               Rewards                   Total(Cumulative)
Epoch0                          5,098.008176                        5,098.008176
Epoch1                              0.000000                        5,098.008176
Epoch2                            445.463893                        5,543.472070
Epoch3                            970.687389                        6,514.159459
Epoch4                          6,471.890432                       12,986.049891
Epoch5                          2,481.956738                       15,468.006630
Epoch6                            850.706655                       16,318.713285
Epoch7                              0.000000                       16,318.713285
Epoch8                            708.963288                       17,027.676573
Epoch9                              0.000000                       17,027.676573
Epoch10                            77.960740                       17,105.637313
Epoch11                         1,129.466601                       18,235.103914
Epoch12                           439.306519                       18,674.410433
Epoch13                           554.589586                       19,229.000018
Epoch14                            86.492711                       19,315.492730
Epoch15                             0.000000                       19,315.492730
