Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              4.753843                            4.753843
Epoch3                              0.569718                            5.323561
Epoch4                              0.000000                            5.323561
Epoch5                              0.763451                            6.087012
Epoch6                              0.045080                            6.132092
Epoch7                              0.000000                            6.132092
Epoch8                              0.000000                            6.132092
Epoch9                              0.000000                            6.132092
Epoch10                             0.000000                            6.132092
Epoch11                             0.000000                            6.132092
Epoch12                             0.000000                            6.132092
Epoch13                             0.000000                            6.132092
Epoch14                             0.000000                            6.132092
Epoch15                             0.000000                            6.132092
Epoch16                             0.000000                            6.132092
Epoch17                             0.000000                            6.132092
