Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              5.581407                            5.581407
Epoch3                              2.789272                            8.370679
Epoch4                              0.007602                            8.378281
Epoch5                              0.000000                            8.378281
Epoch6                              0.000000                            8.378281
Epoch7                              0.000000                            8.378281
Epoch8                              0.000000                            8.378281
Epoch9                              0.000000                            8.378281
Epoch10                             0.000000                            8.378281
Epoch11                             0.000000                            8.378281
Epoch12                             0.000000                            8.378281
Epoch13                             0.000000                            8.378281
Epoch14                             0.000000                            8.378281
