Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.625580                            0.625580
Epoch1                              0.131286                            0.756867
Epoch2                              0.003183                            0.760049
Epoch3                              0.000000                            0.760049
Epoch4                              0.000000                            0.760049
Epoch5                              0.000000                            0.760049
Epoch6                              0.000000                            0.760049
Epoch7                              0.000000                            0.760049
Epoch8                              0.000000                            0.760049
Epoch9                              0.000000                            0.760049
Epoch10                             0.000000                            0.760049
Epoch11                             0.000000                            0.760049
Epoch12                             0.000000                            0.760049
Epoch13                             0.000000                            0.760049
Epoch14                             0.000000                            0.760049
Epoch15                             0.000000                            0.760049
Epoch16                             0.000000                            0.760049
Epoch17                             0.000000                            0.760049
Epoch18                             0.000000                            0.760049
Epoch19                             0.000000                            0.760049
Epoch20                             0.000000                            0.760049
Epoch21                             0.000000                            0.760049
Epoch22                             0.000000                            0.760049
Epoch23                             0.000000                            0.760049
Epoch24                             0.000000                            0.760049
Epoch25                             0.000000                            0.760049
Epoch26                             0.000000                            0.760049
Epoch27                             0.000000                            0.760049
