Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                         14,218.984988                       14,218.984988
Epoch7                         16,727.011520                       30,945.996508
Epoch8                         16,868.774560                       47,814.771068
Epoch9                         10,206.212165                       58,020.983233
Epoch10                             0.000000                       58,020.983233
Epoch11                         1,766.381696                       59,787.364928
Epoch12                             0.000000                       59,787.364928
Epoch13                             0.000000                       59,787.364928
Epoch14                             0.000000                       59,787.364928
Epoch15                             0.000000                       59,787.364928
Epoch16                             0.000000                       59,787.364928
Epoch17                             0.000000                       59,787.364928
Epoch18                             0.000000                       59,787.364928
Epoch19                             0.000000                       59,787.364928
Epoch20                             0.000000                       59,787.364928
Epoch21                             0.000000                       59,787.364928
Epoch22                             0.000000                       59,787.364928
Epoch23                             0.000000                       59,787.364928
Epoch24                             0.000000                       59,787.364928
Epoch25                             0.000000                       59,787.364928
Epoch26                             0.000000                       59,787.364928
Epoch27                             0.000000                       59,787.364928
Epoch28                             0.000000                       59,787.364928
Epoch29                             0.000000                       59,787.364928
Epoch30                             0.000000                       59,787.364928
