Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.575803                            0.575803
Epoch3                              0.000000                            0.575803
Epoch4                              0.000000                            0.575803
Epoch5                              0.000000                            0.575803
Epoch6                              0.000000                            0.575803
Epoch7                              0.000000                            0.575803
Epoch8                              0.000000                            0.575803
Epoch9                              0.000000                            0.575803
Epoch10                             0.000000                            0.575803
Epoch11                             0.000000                            0.575803
Epoch12                             0.000000                            0.575803
Epoch13                             0.000000                            0.575803
Epoch14                             0.000000                            0.575803
Epoch15                             0.000000                            0.575803
Epoch16                             0.000000                            0.575803
Epoch17                             0.000000                            0.575803
Epoch18                             0.000000                            0.575803
Epoch19                             0.000000                            0.575803
Epoch20                             0.000000                            0.575803
Epoch21                             0.000000                            0.575803
Epoch22                             0.000000                            0.575803
Epoch23                             0.000000                            0.575803
Epoch24                             0.000000                            0.575803
Epoch25                             0.000000                            0.575803
Epoch26                             0.000000                            0.575803
Epoch27                             0.000000                            0.575803
Epoch28                             0.000000                            0.575803
