Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.117891                            0.117891
Epoch9                              5.071291                            5.189182
Epoch10                            66.768128                           71.957310
Epoch11                           129.252712                          201.210022
Epoch12                           167.235587                          368.445609
Epoch13                           127.692675                          496.138284
Epoch14                           174.924387                          671.062671
Epoch15                             0.000000                          671.062671
Epoch16                             0.000000                          671.062671
Epoch17                             0.000000                          671.062671
Epoch18                             0.000000                          671.062671
Epoch19                             0.000000                          671.062671
Epoch20                             0.000000                          671.062671
Epoch21                             0.000000                          671.062671
Epoch22                             0.000000                          671.062671
Epoch23                             0.000000                          671.062671
Epoch24                             0.000000                          671.062671
Epoch25                             0.000000                          671.062671
Epoch26                             0.000000                          671.062671
Epoch27                             0.000000                          671.062671
Epoch28                             0.000000                          671.062671
Epoch29                             0.000000                          671.062671
Epoch30                             0.000000                          671.062671
