Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                             40.383463                           40.383463
Epoch9                             56.013125                           96.396588
Epoch10                             0.000000                           96.396588
Epoch11                           135.151215                          231.547803
Epoch12                           251.080774                          482.628578
Epoch13                           311.971438                          794.600015
Epoch14                             0.000000                          794.600015
Epoch15                             0.000000                          794.600015
Epoch16                             0.000000                          794.600015
Epoch17                             0.000000                          794.600015
Epoch18                             0.000000                          794.600015
Epoch19                             0.000000                          794.600015
Epoch20                             0.000000                          794.600015
Epoch21                             0.000000                          794.600015
Epoch22                             0.000000                          794.600015
Epoch23                             0.000000                          794.600015
Epoch24                             0.000000                          794.600015
Epoch25                             0.000000                          794.600015
Epoch26                             0.000000                          794.600015
Epoch27                             0.000000                          794.600015
Epoch28                             0.000000                          794.600015
Epoch29                             0.000000                          794.600015
Epoch30                             0.000000                          794.600015
